gene1	gene2	SP
YQE_00865	YQE_03932	0.996
YQE_11924	YQE_12480	0.996
YQE_00936	YQE_06973	0.996
YQE_00936	YQE_05758	0.996
YQE_00864	YQE_06050	0.996
YQE_05845	YQE_12480	0.996
YQE_05871	YQE_00935	0.996
YQE_02258	YQE_00037	0.996
YQE_02258	YQE_01911	0.996
YQE_02258	YQE_03562	0.996
YQE_07051	YQE_12480	0.996
YQE_00037	YQE_05444	0.996
YQE_04377	YQE_06050	0.996
YQE_06050	YQE_05666	0.996
YQE_06071	YQE_05327	0.996
YQE_01911	YQE_05444	0.996
YQE_05376	YQE_12977	0.996
YQE_05444	YQE_03562	0.996
YQE_03735	YQE_03879	0.995
YQE_03735	YQE_07467	0.995
YQE_03735	YQE_08758	0.995
YQE_03735	YQE_08792	0.995
YQE_03735	YQE_08194	0.995
YQE_03735	YQE_01292	0.995
YQE_03735	YQE_07303	0.995
YQE_03735	YQE_02675	0.995
YQE_03735	YQE_05189	0.995
YQE_03735	YQE_00767	0.995
YQE_03735	YQE_03852	0.995
YQE_03735	YQE_02288	0.995
YQE_03735	YQE_01223	0.995
YQE_03735	YQE_06507	0.995
YQE_03735	YQE_02257	0.995
YQE_03735	YQE_07652	0.995
YQE_03735	YQE_06954	0.995
YQE_03735	YQE_09887	0.995
YQE_03735	YQE_05662	0.995
YQE_03735	YQE_04648	0.995
YQE_03735	YQE_11555	0.995
YQE_03735	YQE_08468	0.995
YQE_03735	YQE_12119	0.995
YQE_04936	YQE_03879	0.995
YQE_04936	YQE_07467	0.995
YQE_04936	YQE_08758	0.995
YQE_04936	YQE_08792	0.995
YQE_04936	YQE_08194	0.995
YQE_04936	YQE_01292	0.995
YQE_04936	YQE_07303	0.995
YQE_04936	YQE_02675	0.995
YQE_04936	YQE_05189	0.995
YQE_04936	YQE_00767	0.995
YQE_04936	YQE_03852	0.995
YQE_04936	YQE_02288	0.995
YQE_04936	YQE_01223	0.995
YQE_04936	YQE_06507	0.995
YQE_04936	YQE_02257	0.995
YQE_04936	YQE_07652	0.995
YQE_04936	YQE_06954	0.995
YQE_04936	YQE_09887	0.995
YQE_04936	YQE_05662	0.995
YQE_04936	YQE_04648	0.995
YQE_04936	YQE_11555	0.995
YQE_04936	YQE_08468	0.995
YQE_04936	YQE_12119	0.995
YQE_06288	YQE_03879	0.995
YQE_06288	YQE_07467	0.995
YQE_06288	YQE_08758	0.995
YQE_06288	YQE_08792	0.995
YQE_06288	YQE_08194	0.995
YQE_06288	YQE_01292	0.995
YQE_06288	YQE_07303	0.995
YQE_06288	YQE_02675	0.995
YQE_06288	YQE_05189	0.995
YQE_06288	YQE_00767	0.995
YQE_06288	YQE_03852	0.995
YQE_06288	YQE_02288	0.995
YQE_06288	YQE_01223	0.995
YQE_06288	YQE_06507	0.995
YQE_06288	YQE_02257	0.995
YQE_06288	YQE_07652	0.995
YQE_06288	YQE_06954	0.995
YQE_06288	YQE_09887	0.995
YQE_06288	YQE_05662	0.995
YQE_06288	YQE_04648	0.995
YQE_06288	YQE_11555	0.995
YQE_06288	YQE_08468	0.995
YQE_06288	YQE_12119	0.995
YQE_06314	YQE_03879	0.995
YQE_06314	YQE_07467	0.995
YQE_06314	YQE_08758	0.995
YQE_06314	YQE_08792	0.995
YQE_06314	YQE_08194	0.995
YQE_06314	YQE_01292	0.995
YQE_06314	YQE_02675	0.995
YQE_06314	YQE_05189	0.995
YQE_06314	YQE_00767	0.995
YQE_06314	YQE_01223	0.995
YQE_06314	YQE_02257	0.995
YQE_06314	YQE_07652	0.995
YQE_06314	YQE_06954	0.995
YQE_06314	YQE_05662	0.995
YQE_06314	YQE_04648	0.995
YQE_06314	YQE_11555	0.995
YQE_06314	YQE_12119	0.995
YQE_03879	YQE_10729	0.995
YQE_03879	YQE_01102	0.995
YQE_03879	YQE_08744	0.995
YQE_03879	YQE_08245	0.995
YQE_03879	YQE_00766	0.995
YQE_03879	YQE_06742	0.995
YQE_03879	YQE_02259	0.995
YQE_03879	YQE_03162	0.995
YQE_03879	YQE_12518	0.995
YQE_03879	YQE_12932	0.995
YQE_03879	YQE_01985	0.995
YQE_03879	YQE_08467	0.995
YQE_10729	YQE_07467	0.995
YQE_10729	YQE_08758	0.995
YQE_10729	YQE_08792	0.995
YQE_10729	YQE_08194	0.995
YQE_10729	YQE_01292	0.995
YQE_10729	YQE_07303	0.995
YQE_10729	YQE_02675	0.995
YQE_10729	YQE_05189	0.995
YQE_10729	YQE_00767	0.995
YQE_10729	YQE_03852	0.995
YQE_10729	YQE_02288	0.995
YQE_10729	YQE_01223	0.995
YQE_10729	YQE_06507	0.995
YQE_10729	YQE_02257	0.995
YQE_10729	YQE_07652	0.995
YQE_10729	YQE_06954	0.995
YQE_10729	YQE_09887	0.995
YQE_10729	YQE_05662	0.995
YQE_10729	YQE_04648	0.995
YQE_10729	YQE_11555	0.995
YQE_10729	YQE_08468	0.995
YQE_10729	YQE_12119	0.995
YQE_07467	YQE_01102	0.995
YQE_07467	YQE_08744	0.995
YQE_07467	YQE_08245	0.995
YQE_07467	YQE_00766	0.995
YQE_07467	YQE_06742	0.995
YQE_07467	YQE_02259	0.995
YQE_07467	YQE_03162	0.995
YQE_07467	YQE_12518	0.995
YQE_07467	YQE_12932	0.995
YQE_07467	YQE_01985	0.995
YQE_07467	YQE_08467	0.995
YQE_01102	YQE_08758	0.995
YQE_01102	YQE_08792	0.995
YQE_01102	YQE_08194	0.995
YQE_01102	YQE_01292	0.995
YQE_01102	YQE_07303	0.995
YQE_01102	YQE_02675	0.995
YQE_01102	YQE_05189	0.995
YQE_01102	YQE_00767	0.995
YQE_01102	YQE_03852	0.995
YQE_01102	YQE_02288	0.995
YQE_01102	YQE_01223	0.995
YQE_01102	YQE_06507	0.995
YQE_01102	YQE_02257	0.995
YQE_01102	YQE_07652	0.995
YQE_01102	YQE_06954	0.995
YQE_01102	YQE_09887	0.995
YQE_01102	YQE_05662	0.995
YQE_01102	YQE_04648	0.995
YQE_01102	YQE_11555	0.995
YQE_01102	YQE_08468	0.995
YQE_01102	YQE_12119	0.995
YQE_08744	YQE_08758	0.995
YQE_08744	YQE_08792	0.995
YQE_08744	YQE_08194	0.995
YQE_08744	YQE_01292	0.995
YQE_08744	YQE_07303	0.995
YQE_08744	YQE_02675	0.995
YQE_08744	YQE_05189	0.995
YQE_08744	YQE_00767	0.995
YQE_08744	YQE_03852	0.995
YQE_08744	YQE_02288	0.995
YQE_08744	YQE_01223	0.995
YQE_08744	YQE_06507	0.995
YQE_08744	YQE_02257	0.995
YQE_08744	YQE_07652	0.995
YQE_08744	YQE_06954	0.995
YQE_08744	YQE_09887	0.995
YQE_08744	YQE_05662	0.995
YQE_08744	YQE_04648	0.995
YQE_08744	YQE_11555	0.995
YQE_08744	YQE_08468	0.995
YQE_08744	YQE_12119	0.995
YQE_08758	YQE_08245	0.995
YQE_08758	YQE_00766	0.995
YQE_08758	YQE_06742	0.995
YQE_08758	YQE_02259	0.995
YQE_08758	YQE_03162	0.995
YQE_08758	YQE_12518	0.995
YQE_08758	YQE_12932	0.995
YQE_08758	YQE_01985	0.995
YQE_08758	YQE_08467	0.995
YQE_08792	YQE_08245	0.995
YQE_08792	YQE_00766	0.995
YQE_08792	YQE_06742	0.995
YQE_08792	YQE_02259	0.995
YQE_08792	YQE_03162	0.995
YQE_08792	YQE_12518	0.995
YQE_08792	YQE_12932	0.995
YQE_08792	YQE_01985	0.995
YQE_08792	YQE_08467	0.995
YQE_08194	YQE_08245	0.995
YQE_08194	YQE_00766	0.995
YQE_08194	YQE_06742	0.995
YQE_08194	YQE_02259	0.995
YQE_08194	YQE_03162	0.995
YQE_08194	YQE_12518	0.995
YQE_08194	YQE_12932	0.995
YQE_08194	YQE_01985	0.995
YQE_08194	YQE_08467	0.995
YQE_08245	YQE_01292	0.995
YQE_08245	YQE_07303	0.995
YQE_08245	YQE_02675	0.995
YQE_08245	YQE_05189	0.995
YQE_08245	YQE_00767	0.995
YQE_08245	YQE_03852	0.995
YQE_08245	YQE_02288	0.995
YQE_08245	YQE_01223	0.995
YQE_08245	YQE_06507	0.995
YQE_08245	YQE_02257	0.995
YQE_08245	YQE_07652	0.995
YQE_08245	YQE_06954	0.995
YQE_08245	YQE_09887	0.995
YQE_08245	YQE_05662	0.995
YQE_08245	YQE_04648	0.995
YQE_08245	YQE_11555	0.995
YQE_08245	YQE_08468	0.995
YQE_08245	YQE_12119	0.995
YQE_01292	YQE_00766	0.995
YQE_01292	YQE_06742	0.995
YQE_01292	YQE_02259	0.995
YQE_01292	YQE_03162	0.995
YQE_01292	YQE_12518	0.995
YQE_01292	YQE_12932	0.995
YQE_01292	YQE_01985	0.995
YQE_01292	YQE_08467	0.995
YQE_07303	YQE_00766	0.995
YQE_07303	YQE_06742	0.995
YQE_07303	YQE_02259	0.995
YQE_07303	YQE_03162	0.995
YQE_07303	YQE_12518	0.995
YQE_07303	YQE_12932	0.995
YQE_07303	YQE_01985	0.995
YQE_07303	YQE_08467	0.995
YQE_07303	YQE_12107	0.995
YQE_02675	YQE_00766	0.995
YQE_02675	YQE_06742	0.995
YQE_02675	YQE_02259	0.995
YQE_02675	YQE_03162	0.995
YQE_02675	YQE_12518	0.995
YQE_02675	YQE_12932	0.995
YQE_02675	YQE_01985	0.995
YQE_02675	YQE_08467	0.995
YQE_05189	YQE_00766	0.995
